Last Name,First Name,Team,SPG
Edmundson,Joel,STL,13043.48
Weber,Shea,MTL,153846.15
Rantanen,Mikko,COL,12333.33
Eriksson Ek,Joel,MIN,61666.67
Tanev,Brandon,WPG,17139.71
Filppula,Valtteri,PHI/T.B,63291.14
Stalberg,Viktor,CAR/OTT,20000.00
Sobotka,Vladimir,STL,2725000.00
Smith,Gemel,DAL,39411.76
Schmidt,Nate,WSH,14583.33
Gionta,Brian,BUF,39634.15
Ho-Sang,Joshua,NYI,44047.62
Zucker,Jason,MIN,25316.46
Haley,Micheal,S.J,10775.86
Honka,Julius,DAL,57812.50
Clutterbuck,Cal,NYI,53030.30
Benning,Matthew,EDM,14919.35
Holden,Nick,NYR,20625.00
Arvidsson,Viktor,NSH,8000.00
De la Rose,Jacob,MTL,102777.78
Namestnikov,Vladislav,T.B,25675.68
Fabbri,Robby,STL,18137.25
Palat,Ondrej,T.B,53333.33
Callahan,Ryan,T.B,361111.11
Paajarvi,Magnus,STL,21875.00
Konecny,Travis,PHI,13214.29
Vesey,Jimmy,NYR,11562.50
Larsen,Philip,VAN,39423.08
Ehlers,Nikolaj,WPG,11280.49
Skjei,Brady,NYR,11562.50
Beagle,Jay,WSH,21604.94
Hall,Taylor,N.J,83333.33
Yakupov,Nail,STL,62500.00
Hinostroza,Vinnie,CHI,13622.45
Coburn,Braydon,T.B,46250.00
Brown,Patrick,CAR,46428.57
White,Colin,OTT,462500.00
Morin,Samuel,PHI,832500.00
Sheary,Conor,PIT,10942.62
Gaunce,Brendan,VAN,14605.26
Sedin,Daniel,VAN,85365.85
Laine,Patrik,WPG,12671.23
Zacha,Pavel,N.J,13214.29
Trocheck,Vincent,FLA,45731.71
Wideman,Dennis,CGY,105263.16
Murphy,Ryan,CAR,27777.78
Pietrangelo,Alex,STL,87500.00
Carrier,Alex,NSH,320000.00
McGinn,Jamie,ARI,41666.67
Sorensen,Nick,ANA,185000.00
Barzal,Mathew,NYI,462500.00
Silfverberg,Jakob,ANA,37974.68
Stone,Mark,OTT,52816.90
Malkin,Evgeni,PIT,153225.81
Nordstrom,Joakim,CAR,15243.90
Beauvillier,Anthony,NYI,14015.15
Aberg,Pontus,NSH,56166.67
Smith,Craig,NSH,51282.05
Stuart,Mark,WPG,64285.71
Johnson,Jack,CBJ,60975.61
Salomaki,Miikka,NSH,115000.00
Jensen,Nick,DET,12244.90
Bailey,Josh,NYI,45121.95
Marleau,Patrick,S.J,79268.29
Gionta,Stephen,NYI,22115.38
Labate,Joseph,VAN,52307.69
Shore,Nick,L.A,8571.43
Suter,Ryan,MIN,109756.10
Vlasic,Marc-Edouard,S.J,56666.67
Plekanec,Tomas,MTL,89743.59
Parayko,Colton,STL,11419.75
